id	taxonID	scientificName	kingdom	phylum	class	order	family
1825539	1825539	Leucodonta bicoloria	Animalia	Arthropoda	Insecta	Lepidoptera	Notodontidae
1820039	1820039	Leucoma salicis	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae
1429199	1429199	Leucorrhinia albifrons	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1429178	1429178	Leucorrhinia caudalis	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1429207	1429207	Leucorrhinia dubia	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1429194	1429194	Leucorrhinia pectoralis	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1429173	1429173	Leucorrhinia rubicunda	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1360324	1360324	Leucospis dorsigera	Animalia	Arthropoda	Insecta	Hymenoptera	Leucospidae
1609542	1609542	Liancalus virens	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae
1427883	1427883	Libellula depressa	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1427936	1427936	Libellula fulva	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
1427915	1427915	Libellula quadrimaculata	Animalia	Arthropoda	Insecta	Odonata	Libellulidae
9414758	9414758	Licinus depressus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
1962636	1962636	Ligdia adustata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
5175631	5175631	Ligia oceanica	Animalia	Arthropoda	Malacostraca	Isopoda	Ligiidae
4416652	4416652	Ligidium hypnorum	Animalia	Arthropoda	Malacostraca	Isopoda	Ligiidae
1066016	1066016	Limarus maculatus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae
1066009	1066009	Limarus zenkeri	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae
5132183	5132183	Limenitis populi	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae
8001799	8001799	Limenitis reducta	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae
1203492	1203492	Limnobaris t-album	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
4464617	4464617	Limobius borealis	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
2043723	2043723	Limotettix striola	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
4494813	4494813	Lindenius albilabris	Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae
4494852	4494852	Lindenius panzeri	Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae
